"DRIVERSTANDINGSID","RACEID","DRIVERID","POINTS","POSITION","POSITIONTEXT","WINS","YEAR","ROUND","NAME","DRIVERREF","FINAL","DRIVER_POSITION_BEFORE_RACE","DRIVER_POINTS_BEFORE_RACE","POSITION_POINTS_BEFORE_RACE","POINTS_OF_LOWER_POSITION","POINTS_OF_LOWER_POSITION_BEFORE_RACE","DELTA_POINTS_TO_LOWER_POSITION","DELTA_POINTS_TO_LOWER_POSITION_BEFORE_RACE","CHANGE_DELTA_BEFORE_AND_AFTER_RACE"
54969,611,231,0,24,"24",0,1973,7,"Swedish Grand Prix","hunt","N",24,0,0,0,0,0,0,0
54968,611,278,1,16,"16",0,1973,7,"Swedish Grand Prix","amon","N",15,1,0,0,0,1,0,1
54965,611,293,0,33,"33",0,1973,7,"Swedish Grand Prix","charlton","N",32,0,0,,0,,0,
54963,611,334,0,30,"30",0,1973,7,"Swedish Grand Prix","pretorius","N",30,0,0,0,0,0,0,0
54962,611,292,0,29,"29",0,1973,7,"Swedish Grand Prix","keizan","N",29,0,0,0,0,0,0,0
54960,611,333,3,10,"10",0,1973,7,"Swedish Grand Prix","adamich","N",10,3,3,3,2,0,1,-1
54957,611,330,0,22,"22",0,1973,7,"Swedish Grand Prix","galli","N",22,0,0,0,0,0,0,0
54956,611,250,0,19,"19",0,1973,7,"Swedish Grand Prix","pace","N",19,0,0,0,0,0,0,0
54954,611,199,3,11,"11",0,1973,7,"Swedish Grand Prix","reutemann","N",18,0,2,2,2,1,0,1
54953,611,182,2,12,"12",0,1973,7,"Swedish Grand Prix","lauda","N",11,2,2,2,1,0,1,-1
54951,611,307,0,18,"18",0,1973,7,"Swedish Grand Prix","ganley","N",17,0,0,0,0,0,0,0
54949,611,197,0,28,"28",0,1973,7,"Swedish Grand Prix","jarier","N",28,0,0,0,0,0,0,0
54946,611,309,11,5,"5",0,1973,7,"Swedish Grand Prix","revson","N",4,11,10,10,6,1,4,-3
54945,611,223,1,14,"14",0,1973,7,"Swedish Grand Prix","regazzoni","N",13,1,1,1,1,0,0,0
54943,611,304,19,4,"4",1,1973,7,"Swedish Grand Prix","hulme","N",5,10,11,11,10,8,1,7
54942,611,235,6,8,"8",0,1973,7,"Swedish Grand Prix","ickx","N",8,5,5,5,4,1,1,0
54940,611,327,25,3,"3",0,1973,7,"Swedish Grand Prix","cevert","N",3,21,21,19,11,6,10,-4
54939,611,224,41,1,"1",3,1973,7,"Swedish Grand Prix","emerson_fittipaldi","N",1,41,41,39,37,2,4,-2
55004,612,317,0,33,"33",0,1973,8,"French Grand Prix","wisell","N",32,0,0,0,,0,,
55003,612,259,0,32,"32",0,1973,8,"French Grand Prix","purley","N",31,0,0,0,0,0,0,0
55000,612,289,0,23,"23",0,1973,8,"French Grand Prix","hill","N",23,0,0,0,0,0,0,0
54997,612,262,0,26,"26",0,1973,8,"French Grand Prix","oliver","N",26,0,0,0,0,0,0,0
54995,612,292,0,30,"30",0,1973,8,"French Grand Prix","keizan","N",29,0,0,0,0,0,0,0
54992,612,332,5,10,"10",0,1973,8,"French Grand Prix","follmer","N",9,5,3,3,3,2,0,2
54990,612,330,0,24,"24",0,1973,8,"French Grand Prix","galli","N",22,0,0,0,0,0,0,0
54989,612,250,0,20,"20",0,1973,8,"French Grand Prix","pace","N",19,0,0,0,0,0,0,0
54987,612,199,7,8,"8",0,1973,8,"French Grand Prix","reutemann","N",11,3,6,6,5,1,1,0
54986,612,182,2,12,"12",0,1973,8,"French Grand Prix","lauda","N",12,2,2,2,2,0,0,0
54984,612,307,0,19,"19",0,1973,8,"French Grand Prix","ganley","N",18,0,0,0,0,0,0,0
54983,612,306,2,13,"13",0,1973,8,"French Grand Prix","beltoise","N",13,2,2,1,1,1,1,0
54980,612,232,6,9,"9",0,1973,8,"French Grand Prix","merzario","N",7,6,5,5,3,1,2,-1
